vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
BMW 218;9.500 km;abr-19;110 kW (150 CV);Automático;Diésel;4,8;ES;123;€ 35.000
BMW 318;19.500 km;jun-19;110 kW (150 CV);Automático;Diésel;4,3;ES;113;€ 33.200
BMW 218;30.300 km;mar-19;110 kW (150 CV);Manual;Diésel;4,4;ES;116;€ 25.500
BMW X4;9.000 km;sep-19;140 kW (190 CV);Automático;Diésel;5,4;ES;138;€ 57.500
BMW X2;18.500 km;jun-19;110 kW (150 CV);Automático;Diésel;4,5;ES;119;€ 32.200
BMW 630;24.000 km;jun-19;195 kW (265 CV);Automático;Diésel;5,3;ES;139;€ 60.000
BMW X1;6.900 km;abr-19;110 kW (150 CV);Manual;Diésel;4,6;ES;120;€ 31.000
BMW X2;12.000 km;jul-19;110 kW (150 CV);Automático;Diésel;4,5;ES;119;€ 32.900
BMW 320;6.755 km;jun-19;140 kW (190 CV);Automático;Diésel;4 l/;ES;106;€ 31.900
BMW 118;16.159 km;may-19;110 kW (150 CV);Automático;Diésel;4,4;ES;115;€ 23.500
BMW X7;29.000 km;may-19;195 kW (265 CV);Automático;Diésel;6,5;ES;171;€ 96.900
BMW 218;4.742 km;jun-19;110 kW (150 CV);Manual;Diésel;4,1;ES;109;€ 23.900
BMW 318;23.200 km;may-19;110 kW (150 CV);Automático;Diésel;4,3;ES;113;€ 31.200
BMW X2;12.000 km;ene-19;110 kW (150 CV);Automático;Diésel;4,5;ES;119;€ 36.200
BMW 318;21.421 km;abr-19;110 kW (150 CV);Automático;Diésel;4 l/;ES;-/- ;€ 31.800
BMW 320;26.895 km;mar-19;140 kW (190 CV);Automático;Diésel;4,6;ES;-/- ;€ 26.300
BMW 116;26.700 km;mar-19;85 kW (116 CV);Manual;Diésel;3,8;ES;-/- ;€ 20.300
BMW 320;16.500 km;oct-19;140 kW (190 CV);Automático;Diésel;4,8;ES;-/- ;€ 42.700
BMW X3;21.500 km;jun-19;140 kW (190 CV);Automático;Diésel;5,1;ES;-/- ;€ 42.500
BMW 630;8.180 km;jun-19;195 kW (265 CV);Automático;Diésel;5,3;ES;-/- ;€ 58.900
BMW 318;19.850 km;jun-19;110 kW (150 CV);Manual;Diésel;4,3;ES;-/- ;€ 30.300
BMW X1;14.980 km;jun-19;110 kW (150 CV);Manual;Diésel;4,4;ES;-/- ;€ 26.700
BMW 320;16.900 km;jun-19;140 kW (190 CV);Automático;Diésel;4,2;ES;-/- ;€ 41.000
